Date,food,work,travel,snacks,fun,extra
2024-10-01,2,3,4,1,4,2
2024-10-02,3,2,3,1,4,3
2024-10-03,1,2,2,4,2,1
2024-10-04,3,1,2,3,4,4
2024-10-05,1,3,4,2,3,2
2024-10-06,4,4,1,1,2,4
2024-10-07,2,1,4,2,3,1
2024-10-08,2,3,2,3,1,4
2024-10-09,3,1,2,2,4,2
2024-10-10,4,2,4,3,1,3
2024-10-11,1,2,1,4,4,1
2024-10-12,2,3,3,3,2,4
2024-10-13,3,4,2,2,4,3
2024-10-14,2,1,3,1,3,1
2024-10-15,4,4,3,4,1,2
2024-10-16,1,2,4,3,3,4
2024-10-17,2,3,1,4,2,2
2024-10-18,3,2,2,1,3,4
2024-10-19,4,1,3,2,2,1
2024-10-20,1,3,1,4,4,3
2024-10-21,3,2,2,1,2,2
2024-10-22,4,3,3,3,1,3
2024-10-23,2,1,1,4,3,2
2024-10-24,3,4,2,2,1,4
2024-10-25,1,2,4,4,2,1
2024-10-26,4,1,2,2,4,3
2024-10-27,2,3,4,1,3,2
2024-10-28,3,2,3,2,4,4
2024-10-29,1,4,1,3,2,3
2024-10-29,0,0,0,0,0,0
